index,상호명,상권업종소분류명,시도명,시군구명,행정동명,지번주소,도로명주소,층정보,경도,위도
6843,세븐일레븐,편의점,서울특별시,영등포구,여의동,서울특별시 영등포구 여의도동 28-1번지 ,"서울특별시 영등포구 여의대로 24, (여의도동)",1,126.9205931,37.52236707
6844,CU개포현대점,편의점,서울특별시,강남구,개포4동,서울특별시 강남구 개포동 1244-7번지 ,"서울특별시 강남구 개포로17길 13, (개포동)",1,127.0463715,37.47956823
6845,CU,편의점,서울특별시,강북구,송천동,서울특별시 강북구 미아동 673-3번지 ,"서울특별시 강북구 삼양로24길 45, (미아동)",,127.0224929,37.6181704
6846,GS25,편의점,서울특별시,마포구,서교동,서울특별시 마포구 서교동 376-1번지 ,"서울특별시 마포구 동교로18길 30, (서교동)",1,126.9174895,37.55394719
6847,세븐일레븐,편의점,서울특별시,동대문구,장안1동,서울특별시 동대문구 장안동 237-6번지 ,"서울특별시 동대문구 한천로 30, (장안동)",1,127.0605223,37.56477712
6848,CU,편의점,서울특별시,중랑구,면목본동,서울특별시 중랑구 면목동 359-5번지 ,"서울특별시 중랑구 면목로 400, (면목동)",1,127.0878965,37.58766213
6849,CU,편의점,서울특별시,광진구,자양4동,서울특별시 광진구 자양동 58-1번지 ,"서울특별시 광진구 능동로3라길 16, (자양동)",1,127.0650078,37.53463656
6850,GS25,편의점,서울특별시,은평구,갈현1동,서울특별시 은평구 갈현동 395-28번지 ,"서울특별시 은평구 통일로 863-8, (갈현동)",1,126.9196616,37.61981465
6851,세븐일레븐,편의점,서울특별시,용산구,이촌1동,서울특별시 용산구 이촌동 302-17번지 ,"서울특별시 용산구 이촌로72길 62, (이촌동)",,126.9708396,37.5178148
6852,GS25,편의점,서울특별시,관악구,인헌동,서울특별시 관악구 봉천동 1646-28번지 ,"서울특별시 관악구 인헌9길 28, (봉천동)",,126.9681918,37.47265804
6853,세븐일레븐,편의점,서울특별시,강동구,성내3동,서울특별시 강동구 성내동 423-13번지 ,"서울특별시 강동구 양재대로91길 77, (성내동)",1,127.131834,37.52873122
6854,LGin편의점,편의점,서울특별시,강서구,화곡본동,서울특별시 강서구 화곡동 61-28번지 ,"서울특별시 강서구 까치산로 46, (화곡동)",1,126.8449734,37.54322253
6855,CU,편의점,서울특별시,관악구,청림동,서울특별시 관악구 봉천동 13-45번지 ,"서울특별시 관악구 청림6길 6, (봉천동)",,126.9595242,37.48789092
6856,GS25구로성광점,편의점,서울특별시,구로구,신도림동,서울특별시 구로구 신도림동 309-6번지 ,"서울특별시 구로구 신도림로19길 7, (신도림동)",1,126.8844669,37.51126392
6857,CU,편의점,서울특별시,서대문구,홍은2동,서울특별시 서대문구 홍은동 191-23번지 ,"서울특별시 서대문구 연희로41길 87, (홍은동)",1,126.9344831,37.59246793
6858,GS25,편의점,서울특별시,도봉구,창3동,서울특별시 도봉구 창동 479-10번지 ,"서울특별시 도봉구 우이천로4다길 16, (창동)",1,127.0409834,37.63460386
6859,GS25,편의점,서울특별시,성북구,월곡1동,서울특별시 성북구 하월곡동 70-150번지 ,"서울특별시 성북구 오패산로 31, (하월곡동)",1,127.0369359,37.60495379
6860,CU,편의점,서울특별시,성북구,안암동,서울특별시 성북구 안암동5가 126-83번지 ,"서울특별시 성북구 고려대로 76, (안암동5가)",,127.0277368,37.58602859
6861,GS25,편의점,서울특별시,중랑구,면목4동,서울특별시 중랑구 면목동 376-33번지 ,"서울특별시 중랑구 답십리로75길 70, (면목동)",1,127.0809664,37.57480451
6862,GS25,편의점,서울특별시,서초구,방배3동,서울특별시 서초구 방배동 484-1번지 로얄그린빌라트 ,"서울특별시 서초구 효령로4길 56-16, (방배동, 로얄그린빌라트)",,126.9900509,37.47559512
